row_type,ts_utc,run_date,match_key,match_link,league_slug,match_date,tournament,player_a,player_b,model_id_a,model_id_b,best_of,market,line,book_side,model_selection,bookmaker,decimal_odds,market_p_devig,model_p,edge_raw,edge_devig,kelly_full,stake_flat,stake_kelly,bankroll_kelly,result,pnl_flat,pnl_kelly,note,model_pmf_start,model_pmf,model_median,outcome_value,open_decimal_odds,hours_to_start
pick,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847376,pointsbet:2847376,atp-cincinnati,2026-08-15,ATP Cincinnati,Struff J.,Tabilo A.,SL28,TE30,3,games_handicap,2.5,home,A -2.5,pointsbet,1.95,0.4715447154471546,0.5352827062228901,0.022462193402377206,0.0637379907757355,0.046106607510142804,1.0,0.5763,25.0,,,,"as_of 2026-08-15, book pointsbet",-12,"0.000106446,0.000450837,0.00371347,0.0047531,0.0271622,0.0205628,0.0994366,0.0514117,0.178291,0.0788289,0.0830329,0.0352137,0.0375963,0.0407883,0.0409316,0.0902568,0.0461435,0.0934028,0.020814,0.0346949,0.00544009,0.00581589,0.000754234,0.000375177,2.23565e-05",-2.0,,,
pick,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847398,pointsbet:2847398,atp-cincinnati,2026-08-15,ATP Cincinnati,Djokovic N.,Tirante T.,D643,T0A1,3,games_handicap,-4.5,home,A +4.5,pointsbet,2.25,0.41406249999999994,0.4650396125760323,0.020595168131587904,0.05097711257603238,0.037071302636858226,1.0,0.4634,25.0,,,,"as_of 2026-08-15, book pointsbet",-12,"9.56752e-06,4.5395e-05,0.000489534,0.000698899,0.00519736,0.00445798,0.0274928,0.0161854,0.0695508,0.034916,0.0451749,0.0226293,0.0284601,0.0370273,0.0442722,0.118912,0.0794405,0.19414,0.0646084,0.12476,0.031025,0.0377411,0.00781327,0.00451903,0.000432466",4.0,,,
pick,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847400,pointsbet:2847400,atp-cincinnati,2026-08-15,ATP Cincinnati,Blockx A.,Navone M.,B0PG,N0BS,3,total_games,21.5,under,under 21.5,pointsbet,2.35,0.3943298969072165,0.4724505144301597,0.04691859953654265,0.07812061752294319,0.08167311771175939,1.0,1.0,25.0,,,,"as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0.0352089,0.0444494,0.0853282,0.0703083,0.0853694,0.0726484,0.0591379,0.0726879,0.0509072,0.0151248,0.0473554,0.0385387,0.0347649,0.0366536,0.0414386,0.0379323,0.0416346,0.0350944,0.0232053,0.0168335,0.0153782",22.0,,,
pick,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847445,pointsbet:2847445,atp-cincinnati,2026-08-15,ATP Cincinnati,Atmane T.,Etcheverry T.,A0GC,EA24,3,games_handicap,-3.5,away,B -3.5,pointsbet,1.5,0.6153846153846154,0.7311774799167262,0.06451081325005958,0.1157928645321108,0.19353243975017864,1.0,1.0,25.0,,,,"as_of 2026-08-15, book pointsbet",-12,"9.15461e-06,4.35759e-05,0.000564614,0.000786478,0.00712826,0.0058132,0.0455113,0.0268777,0.14089,0.0778679,0.0910215,0.039557,0.0438489,0.0520266,0.0661094,0.133122,0.0668723,0.126065,0.0238583,0.0401255,0.0052002,0.00574941,0.000626124,0.000310446,1.56974e-05",1.0,,,
pick,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847525,pointsbet:2847525,atp-cincinnati,2026-08-15,ATP Cincinnati,Darderi L.,Hijikata R.,D0FJ,H0BH,3,total_games,21.5,under,under 21.5,pointsbet,2.25,0.41406249999999994,0.47096565967455767,0.02652121523011325,0.056903159674557724,0.04773818741420381,1.0,0.5967,25.0,,,,"as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0.0337093,0.0483944,0.0797895,0.0759593,0.079579,0.0762417,0.0572924,0.072459,0.0491649,0.0166716,0.0478454,0.0397446,0.0352688,0.0386628,0.0415451,0.0394482,0.040639,0.0350186,0.0225513,0.016679,0.013336",22.0,,,
pick,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847552,pointsbet:2847552,atp-cincinnati,2026-08-15,ATP Cincinnati,Bellucci M.,Mensik J.,B0GG,M0NI,3,total_games,21.5,over,over 21.5,pointsbet,1.74,0.5347593582887701,0.622831950616793,0.04811930693863209,0.08807259232802289,0.11314539739624295,1.0,1.0,25.0,,,,"as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0,0.0254899,0.0308349,0.0879936,0.0567094,0.107247,0.0488937,0.115609,0.0852968,0.00776225,0.0335251,0.064169,0.0140464,0.0276557,0.0224612,0.0332364,0.0369615,0.0511941,0.0259876,0.0235922,0.0345571,0.0260441,0.000733158",23.0,,,
pick,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847552,pointsbet:2847552,atp-cincinnati,2026-08-15,ATP Cincinnati,Bellucci M.,Mensik J.,B0GG,M0NI,3,games_handicap,4.5,home,A -4.5,pointsbet,1.65,0.5657894736842105,0.7597971975751866,0.15373659151458052,0.1940077238909761,0.3902544246139351,1.0,1.0,25.0,,,,"as_of 2026-08-15, book pointsbet",-12,"0.000107323,0.00045503,0.00398216,0.00502943,0.0306165,0.0224662,0.117707,0.0598393,0.221311,0.0993636,0.0953929,0.0363164,0.0365413,0.0370668,0.0383296,0.0739167,0.0332564,0.0593206,0.00980562,0.0154327,0.00171524,0.0017815,0.000165598,7.76315e-05,3.31814e-06",-3.0,,,
pick,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2848117,pointsbet:2848117,atp-cincinnati,2026-08-15,ATP Cincinnati,Paul T.,Hurkacz H.,PL56,HB71,3,games_handicap,-2.5,home,A +2.5,pointsbet,2.05,0.45187165775401067,0.5129728896487438,0.025168011599963236,0.0611012318947331,0.04913754645707108,1.0,0.6142,25.0,,,,"as_of 2026-08-15, book pointsbet",-12,"9.79483e-06,4.64853e-05,0.000560211,0.000785498,0.00658207,0.00544087,0.0387287,0.0225728,0.10937,0.0572264,0.070066,0.0323368,0.0382107,0.0472286,0.0578625,0.134892,0.0756498,0.162972,0.0393133,0.0707698,0.0122007,0.0140275,0.00201648,0.00106128,7.05261e-05",3.0,,,
pick,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2848140,pointsbet:2848140,atp-cincinnati,2026-08-15,ATP Cincinnati,Halys Q.,De Minaur A.,HB64,DH58,3,total_games,21.5,over,over 21.5,pointsbet,1.67,0.557029177718833,0.6318093247644141,0.0330069295548332,0.07478014704558111,0.0822710035172709,1.0,1.0,25.0,,,,"as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0,0.0225262,0.030977,0.0839932,0.0581821,0.103426,0.0490863,0.115239,0.0862097,0.00774151,0.0340347,0.065415,0.0144564,0.0277461,0.0231315,0.0333439,0.0381161,0.0518459,0.0268115,0.0240037,0.0356447,0.0266873,0.0013818",23.0,,,
pick,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2848140,pointsbet:2848140,atp-cincinnati,2026-08-15,ATP Cincinnati,Halys Q.,De Minaur A.,HB64,DH58,3,games_handicap,4.5,home,A -4.5,pointsbet,1.48,0.6281407035175879,0.7734233103955392,0.09774763471986359,0.14528260687795136,0.30138854038624596,1.0,1.0,25.0,,,,"as_of 2026-08-15, book pointsbet",-12,"9.32031e-05,0.000398239,0.00356267,0.00453173,0.0282012,0.0208574,0.111631,0.057301,0.215962,0.0981662,0.0958063,0.0369166,0.0374646,0.038458,0.04028,0.0783277,0.0356567,0.0641633,0.0108149,0.0171396,0.0019463,0.00203287,0.000192954,9.09793e-05,3.97394e-06",-3.0,,,
